,V0,X,Y,FFID,Elevation
5684,1.2,376059.0,6352090.25,23555116,121.2
5685,1.3846153846153846,376009.82,6352082.45,23555115,122.2
5686,1.2,376056.4,6351786.27,23495115,123.5
5687,1.2,376106.68,6351794.17,23495116,123.5
5688,1.2,376155.46,6351801.96,23495117,123.2
5689,1.2857142857142858,376204.54,6351809.66,23495118,122.7
5690,1.2,376254.22,6351817.56,23495119,122.6
5691,1.125,376303.3,6351825.35,23495120,122.9
5692,1.2857142857142858,375960.64,6352074.65,23555114,122.5
5693,1.125,377085.99,6344965.9,22115114,120.7
5694,1.0,377037.0,6344958.2,22115113,120.8
5695,1.2857142857142858,375911.16,6352066.86,23555113,123.0
5696,1.0588235294117647,375491.12,6355036.47,24155114,130.6
5697,0.9473684210526316,376988.22,6344950.5,22115112,120.8
5698,1.2857142857142858,375861.38,6352058.96,23555112,123.1
5699,1.0588235294117647,375441.94,6355028.67,24155113,130.5
5700,1.0,376938.54,6344942.61,22115111,120.6
5701,1.2857142857142858,375812.29,6352051.16,23555111,123.4
5702,1.2857142857142858,375392.36,6355020.87,24155112,130.7
5703,1.2,376889.16,6344934.71,22115110,119.7
5704,1.3846153846153846,375763.01,6352043.37,23555110,123.4
5705,1.2,375342.98,6355013.08,24155111,130.8
5706,1.125,376839.78,6344926.91,22115109,120.5
5707,1.2,375293.7,6355005.18,24155110,130.9
5708,1.3846153846153846,375713.83,6352035.57,23555109,123.5
5709,1.125,375244.12,6354997.38,24155109,130.8
5710,1.2,375663.95,6352027.67,23555108,124.1
5711,1.0,375195.14,6354989.69,24155108,131.2
5712,1.2,375614.67,6352019.88,23555107,124.0
5713,1.0588235294117647,375145.86,6354981.79,24155107,131.2
5714,1.2,375565.79,6352012.18,23555106,123.8
5715,1.3846153846153846,375516.31,6352004.28,23555105,123.7
5716,1.2857142857142858,375096.28,6354973.99,24155106,131.3
5717,1.0,376792.6,6345223.1,22175109,120.8
5718,1.125,375467.03,6351996.58,23555104,123.9
5719,1.2857142857142858,375046.9,6354966.2,24155105,130.7
5720,1.0588235294117647,376842.08,6345230.89,22175110,120.9
5721,1.2,375417.55,6351988.69,23555103,124.5
5722,1.125,374997.52,6354958.4,24155104,130.4
5723,1.0588235294117647,376891.26,6345238.69,22175111,120.3
5724,1.2,374948.44,6354950.6,24155103,130.5
5725,1.0588235294117647,376940.74,6345246.59,22175112,120.0
5726,1.0588235294117647,376990.12,6345254.38,22175113,119.8
